"API Password","API Passwort"
"API User","API Benutzer"
"Deutsche Post Direkt","Deutsche Post Direkt"
"Deutsche Post Direkt is a 100% subsidiary of Deutsche Post DHL Group specializing in dialog marketing, address and data management.","Die Deutsche Post Direkt ist eine auf Dialogmarketing, Adress- und Datamanagement spezialisierte 100% Tochter von Deutsche Post DHL Group."
"General Configuration","Allgemeine Konfiguration"
"Getting Started","Einfach loslegen"
"https://www.deutschepost.de/en/d/deutsche-post-direkt/kontakt-auswahl.html","https://www.deutschepost.de/de/d/deutsche-post-direkt/kontakt-auswahl.html"
"If you do not have an account yet, please contact Deutsche Post Direkt via %1website%2.","Wenn Sie noch keinen gültigen oder aktivierten Account haben, kontaktieren Sie bitte die Deutsche Post Direkt via %1Website%2."
"The AUTOCOMPLETE and ADDRESSFACTORY services of %1Deutsche Post Direkt%2 ideally complement DHL Parcel Germany. Use them to improve the quality of address data in your system.","Die Services AUTOCOMPLETE und ADDRESSFACTORY von %1Deutsche Post Direkt%2 ergänzen die Versandlösungen von DHL Paket in idealer Weise. Verbessern Sie damit die Qualität der Adressdaten in Ihrem System."
"The postal reference database forms the core of all the services provided by the company. The database, which is managed in accordance with the General Data Protection Regulation (GDPR), is characterised by daily data maintenance and a level of coverage, with over 220 million data records, that makes it unique in Germany. This ensures that the services provided by Deutsche Post Direkt are market-leading in terms of quality.","Die Postreferenz-Datenbank bildet den Kern aller Services. Die DSGVO-konform bewirtschaftete Datenbank zeichnet sich durch tagesaktuelle Datenpflege und eine in Deutschland einzigartige Reichweite mit über 220 Mio. Datensätzen aus. Sie sichert damit die Qualitätsführerschaft der Services von Deutsche Post Direkt."
"Web service credentials are needed to use the Deutsche Post Direkt services.","Sie benötigen Webservice-Zugangsdaten, um die Deutsche Post Direkt Adresslösungen nutzen zu können."
