"API Password","API Password"
"API User","API User"
"Deutsche Post Direkt","Deutsche Post Direkt"
"Deutsche Post Direkt is a 100% subsidiary of Deutsche Post DHL Group specializing in dialog marketing, address and data management.","Deutsche Post Direkt is a 100% subsidiary of Deutsche Post DHL Group specializing in dialog marketing, address and data management."
"General Configuration","General Configuration"
"Getting Started","Getting Started"
"https://www.deutschepost.de/en/d/deutsche-post-direkt/kontakt-auswahl.html","https://www.deutschepost.de/en/d/deutsche-post-direkt/kontakt-auswahl.html"
"If you do not have an account yet, please contact Deutsche Post Direkt via %1website%2.","If you do not have an account yet, please contact Deutsche Post Direkt via %1website%2."
"The AUTOCOMPLETE and ADDRESSFACTORY services of %1 ideally complement DHL Shipping via DHL Parcel Germany. Use them to improve the quality of address data in your system.","The AUTOCOMPLETE and ADDRESSFACTORY services of %1 ideally complement DHL Shipping via DHL Parcel Germany. Use them to improve the quality of address data in your system."
"The postal reference database forms the core of all the services provided by the company. The database, which is managed in accordance with the General Data Protection Regulation (GDPR), is characterised by daily data maintenance and a level of coverage, with over 220 million data records, that makes it unique in Germany. This ensures that the services provided by Deutsche Post Direkt are market-leading in terms of quality.","The postal reference database forms the core of all the services provided by the company. The database, which is managed in accordance with the General Data Protection Regulation (GDPR), is characterised by daily data maintenance and a level of coverage, with over 220 million data records, that makes it unique in Germany. This ensures that the services provided by Deutsche Post Direkt are market-leading in terms of quality."
"Web service credentials are needed to use the Deutsche Post Direkt services.","Web service credentials are needed to use the Deutsche Post Direkt services."
